Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YOR273C	YCR021C
Protein-Protein Interaction	YOR123C	YGL244W
Protein-Protein Interaction	YBL050W	YAL030W
Protein-Protein Interaction	YKL196C	YHL031C
Protein-Protein Interaction	YPL129W	YGR005C
Protein-Protein Interaction	YBR009C	YBL008W
Protein-Protein Interaction	YBR024W	Q0250
Protein-Protein Interaction	YNL298W	YBR200W
Protein-Protein Interaction	YBR160W	YBR135W
Protein-Protein Interaction	YBR200W	YAL041W
Protein-Protein Interaction	YCL061C	YAR002W
Protein-Protein Interaction	YCR077C	YBL026W
Protein-Protein Interaction	YCR084C	YBR112C
Protein-Protein Interaction	YDR057W	YDL126C
Protein-Protein Interaction	YDR110W	YDR026C
Protein-Protein Interaction	YDR122W	YAR014C
Protein-Protein Interaction	YDR138W	YBR279W
Protein-Protein Interaction	YDR145W	YBR198C
Protein-Protein Interaction	YDR166C	YBR102C
Protein-Protein Interaction	YDR167W	YDR145W
Protein-Protein Interaction	YDR176W	YBR081C
Protein-Protein Interaction	YDR192C	YDL207W
Protein-Protein Interaction	YDR224C	YBL052C
Protein-Protein Interaction	YDR224C	YBR010W
Protein-Protein Interaction	YDR244W	YDR142C
Protein-Protein Interaction	YDR238C	YDL192W
Protein-Protein Interaction	YDR297W	YBR106W
Protein-Protein Interaction	YDR320C-A	YDR201W
Protein-Protein Interaction	YDR356W	YBR109C
Protein-Protein Interaction	YDR381W	YAR002W
Protein-Protein Interaction	YDR439W	YCR086W
Protein-Protein Interaction	YDR484W	YDR027C
Protein-Protein Interaction	YDR510W	YDL013W
Protein-Protein Interaction	YEL002C	YDL145C
Protein-Protein Interaction	YDR510W	YDR368W
Protein-Protein Interaction	YEL032W	YBR202W
Protein-Protein Interaction	YEL037C	YDL190C
Protein-Protein Interaction	YEL037C	YDR427W
Protein-Protein Interaction	YER013W	YDR416W
Protein-Protein Interaction	YER022W	YDL005C
Protein-Protein Interaction	YER027C	YDR477W
Protein-Protein Interaction	YER047C	YDR510W
Protein-Protein Interaction	YER133W	YAR014C
Protein-Protein Interaction	YER133W	YDR130C
Protein-Protein Interaction	YER146W	YDR378C
Protein-Protein Interaction	YER148W	YBR198C
Protein-Protein Interaction	YER165W	YDR172W
Protein-Protein Interaction	YER165W	YDR228C
Protein-Protein Interaction	YFL018C	YDR148C
Protein-Protein Interaction	YFL029C	YBR160W
Protein-Protein Interaction	YFL041W	YBR207W
Protein-Protein Interaction	YFR002W	YDR381W
Protein-Protein Interaction	YFR024C-A	YCR030C
Protein-Protein Interaction	YFR050C	YBR270C
Protein-Protein Interaction	YFR051C	YDL145C
Protein-Protein Interaction	YGL003C	YDL155W
Protein-Protein Interaction	YGL043W	YDL140C
Protein-Protein Interaction	YGL048C	YBR272C
Protein-Protein Interaction	YGL048C	YEL037C
Protein-Protein Interaction	YGL058W	YCR066W
Protein-Protein Interaction	YGL066W	YDR448W
Protein-Protein Interaction	YGL100W	YGL092W
Protein-Protein Interaction	YGL112C	YDR167W
Protein-Protein Interaction	YGL112C	YBR198C
Protein-Protein Interaction	YGL112C	YDR448W
Protein-Protein Interaction	YGL181W	YDR135C
Protein-Protein Interaction	YGL195W	YDR152W
Protein-Protein Interaction	YGL198W	YFL038C
Protein-Protein Interaction	YGL240W	YFR036W
Protein-Protein Interaction	YGL241W	YER148W
Protein-Protein Interaction	YGR009C	YAL030W
Protein-Protein Interaction	YGL240W	YDR118W
Protein-Protein Interaction	YGR075C	YBR152W
Protein-Protein Interaction	YGR077C	YDR244W
Protein-Protein Interaction	YGR098C	YDR113C
Protein-Protein Interaction	YGR104C	YBL093C
Protein-Protein Interaction	YGR104C	YDL140C
Protein-Protein Interaction	YGR104C	YER022W
Protein-Protein Interaction	YGR113W	YDR016C
Protein-Protein Interaction	YGR119C	YFR002W
Protein-Protein Interaction	YGR120C	YGL223C
Protein-Protein Interaction	YGR128C	YDR324C
Protein-Protein Interaction	YGR166W	YDR472W
Protein-Protein Interaction	YGR166W	YBR254C
Protein-Protein Interaction	YGR166W	YDR407C
Protein-Protein Interaction	YGR186W	YDL140C
Protein-Protein Interaction	YHL007C	YBR200W
Protein-Protein Interaction	YGR252W	YBR081C
Protein-Protein Interaction	YGR252W	YCL010C
Protein-Protein Interaction	YGR252W	YER164W
Protein-Protein Interaction	YHL002W	YGR268C
Protein-Protein Interaction	YGR281W	YER020W
Protein-Protein Interaction	YHL019C	YFL034W
Protein-Protein Interaction	YHL024W	YER125W
Protein-Protein Interaction	YHL025W	YDR073W
Protein-Protein Interaction	YHR027C	YEL037C
Protein-Protein Interaction	YHR025W	YDR510W
Protein-Protein Interaction	YHR027C	YGL048C
Protein-Protein Interaction	YHR030C	YGR252W
Protein-Protein Interaction	YHR042W	YHL007C
Protein-Protein Interaction	YHR069C	YCR035C
Protein-Protein Interaction	YHR084W	YDR480W
Protein-Protein Interaction	YHR090C	YFL024C
Protein-Protein Interaction	YHR119W	YBR175W
Protein-Protein Interaction	YHR135C	YGR281W
Protein-Protein Interaction	YHR164C	YHR122W
Protein-Protein Interaction	YHR158C	YGR238C
Protein-Protein Interaction	YHR166C	YBL084C
Protein-Protein Interaction	YHR166C	YFR036W
Protein-Protein Interaction	YHR171W	YBR217W
Protein-Protein Interaction	YHR188C	YDR331W
Protein-Protein Interaction	YHR195W	YEL013W
Protein-Protein Interaction	YHR206W	YDL235C
Protein-Protein Interaction	YIL021W	YDL115C
Protein-Protein Interaction	YIL035C	YGL019W
