"Gene Name","Protein IDs","Benign_vs_Malignant_log2 fold change","Benign_vs_Malignant_p.val","Benign_vs_Malignant_p.adj","significant","Benign_vs_Malignant_significant","imputed","num_NAs","Protein.names"
"A1BG","P04217",1.34,5.15e-05,0.000616,TRUE,TRUE,FALSE,0,"Alpha-1B-glycoprotein"
"A2M","P01023",1.35,0.00283,0.00914,TRUE,TRUE,FALSE,0,"Alpha-2-macroglobulin"
"AAK1","Q2M2I8",-1.09,0.0238,0.0469,TRUE,TRUE,TRUE,15,"AP2-associated protein kinase 1"
"ABAT","P80404",-2.15,0.00403,0.0117,TRUE,TRUE,TRUE,2,"4-aminobutyrate aminotransferase, mitochondrial"
"ABCC4","O15439",-2.17,0.00249,0.00832,TRUE,TRUE,TRUE,5,"Multidrug resistance-associated protein 4"
"ABCF1","Q8NE71",-1.28,0.00147,0.00557,TRUE,TRUE,TRUE,7,"ATP-binding cassette sub-family F member 1"
"ABHD10","Q9NUJ1",-1.77,0.00182,0.00659,TRUE,TRUE,TRUE,2,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"
"ABHD11","Q8NFV4",-3.66,3.81e-06,0.000182,TRUE,TRUE,TRUE,7,"Alpha/beta hydrolase domain-containing protein 11"
"ABHD14B","Q96IU4",-1.97,0.024,0.0472,TRUE,TRUE,TRUE,4,"Alpha/beta hydrolase domain-containing protein 14B"
"ACAA1","P09110",-1.84,0.00414,0.0119,TRUE,TRUE,TRUE,1,"3-ketoacyl-CoA thiolase, peroxisomal"
"ACAA2","P42765",1.11,0.0156,0.0336,TRUE,TRUE,TRUE,1,"3-ketoacyl-CoA thiolase, mitochondrial"
"ACACA","Q13085",-2.92,0.000124,0.00107,TRUE,TRUE,TRUE,6,"Acetyl-CoA carboxylase 1;Biotin carboxylase"
"ACAD8","Q9UKU7",-1.69,0.0116,0.0264,TRUE,TRUE,TRUE,10,"Isobutyryl-CoA dehydrogenase, mitochondrial"
"ACAD9","Q9H845",-1.88,8.5e-06,0.000245,TRUE,TRUE,TRUE,8,"Acyl-CoA dehydrogenase family member 9, mitochondrial"
"ACADSB","P45954",-2.53,0.000634,0.00305,TRUE,TRUE,TRUE,4,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
"ACBD3","Q9H3P7",-2.12,0.000444,0.00239,TRUE,TRUE,TRUE,4,"Golgi resident protein GCP60"
"ACE","P12821",1.82,0.025,0.0488,TRUE,TRUE,TRUE,13,"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form"
"ACIN1","Q9UKV3",-1.64,2.57e-05,0.000418,TRUE,TRUE,TRUE,3,"Apoptotic chromatin condensation inducer in the nucleus"
"ACLY","P53396",-2.02,1.98e-05,0.00036,TRUE,TRUE,FALSE,0,"ATP-citrate synthase"
"ACOX3","O15254",-1.41,0.0197,0.0402,TRUE,TRUE,TRUE,7,"Peroxisomal acyl-coenzyme A oxidase 3"
"ACP1","P24666",-1.55,0.00273,0.00887,TRUE,TRUE,TRUE,3,"Low molecular weight phosphotyrosine protein phosphatase"
"ACP2","P11117",-1.94,3.75e-05,0.000528,TRUE,TRUE,TRUE,11,"Lysosomal acid phosphatase"
"ACSL1","P33121",-2.68,0.000584,0.00288,TRUE,TRUE,TRUE,2,"Long-chain-fatty-acid--CoA ligase 1"
"ACSL3","O95573",-1.91,0.00166,0.00615,TRUE,TRUE,TRUE,3,"Long-chain-fatty-acid--CoA ligase 3"
"ACSM3","Q53FZ2",-2.28,0.000703,0.00323,TRUE,TRUE,TRUE,10,"Acyl-coenzyme A synthetase ACSM3, mitochondrial"
"ACSS1","Q9NUB1",-3.04,2.16e-05,0.000384,TRUE,TRUE,TRUE,4,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
"ACTG2","P63267",1.85,0.00507,0.0138,TRUE,TRUE,TRUE,5,"Actin, gamma-enteric smooth muscle"
"ACY1","Q03154",-2.72,2.61e-05,0.000421,TRUE,TRUE,TRUE,4,"Aminoacylase-1"
"ADAR","P55265",-2.57,2.34e-06,0.00014,TRUE,TRUE,TRUE,5,"Double-stranded RNA-specific adenosine deaminase"
"ADH1B","P00325",2.48,0.00574,0.0151,TRUE,TRUE,TRUE,7,"Alcohol dehydrogenase 1B;Alcohol dehydrogenase 1A"
"ADPRHL2","Q9NX46",-1.79,0.00156,0.00582,TRUE,TRUE,TRUE,5,"Poly(ADP-ribose) glycohydrolase ARH3"
"ADSL","P30566",-1.43,0.000453,0.00241,TRUE,TRUE,TRUE,3,"Adenylosuccinate lyase"
"AEBP1","Q8IUX7",1.28,0.002,0.00704,TRUE,TRUE,FALSE,0,"Adipocyte enhancer-binding protein 1"
"AFM","P43652",1.98,0.00602,0.0157,TRUE,TRUE,TRUE,2,"Afamin"
"AGA","P20933",-2.3,0.00226,0.00772,TRUE,TRUE,TRUE,3,"N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain"
"AGK","Q53H12",-1.26,0.00693,0.0177,TRUE,TRUE,TRUE,9,"Acylglycerol kinase, mitochondrial"
"AGT","P01019",1.27,0.000142,0.00115,TRUE,TRUE,FALSE,0,"Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4"
"AHSG","P02765",1.24,0.000589,0.00288,TRUE,TRUE,FALSE,0,"Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B"
"AIFM1","O95831",-1.03,0.000553,0.00279,TRUE,TRUE,FALSE,0,"Apoptosis-inducing factor 1, mitochondrial"
"AIM1","Q9Y4K1",-2.18,0.001,0.00422,TRUE,TRUE,TRUE,14,"Absent in melanoma 1 protein"
"AIMP1","Q12904",-2.47,0.000113,0.00101,TRUE,TRUE,TRUE,3,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2"
"AIMP2","Q13155",-1.26,0.0023,0.00782,TRUE,TRUE,TRUE,2,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2"
"AK4","P27144",-1.55,0.00644,0.0166,TRUE,TRUE,TRUE,3,"Adenylate kinase 4, mitochondrial"
