uniprot_acc	complex_id	protein_complex_name
P23503	372	putative Cia1-Yhr122w-Met18-Nar1 complex
Q03976	123	mitochondrial small ribosomal subunit
Q12071	178	GARP complex
P24276	398	putative Ssd1-Psy4-Pph3-Psy2 complex
P36528	94	mitochondtrial large ribosomal subunit
P38959	161	HOPS complex
P34162	138	Srb-mediator complex
Q05027	174	SAGA complex
Q06678	94	mitochondtrial large ribosomal subunit
P06779	478	nucleotide-excision repair factor 4 complex (GO)
P39707	513	tRNA-intron endonuclease complex (GO)
P29295	361	putative Hrr25-Ltv1-Rio2-Tsr1 complex
Q00416	53	Nrd1-Nab3-Sen1 termination complex
P25694	8	Cdc48-Shp1 complex
Q08773	419	Isw2-Itc1 complex
P32639	125	U4-U6 x U5 tri-snRNP complex
P60010	116	NuA4 histone acetyltransferase complex
P25298	71	cleavage factor I complex
P36056	123	mitochondrial small ribosomal subunit
P12962	462	mRNA cap complex (GO)
P25623	318	putative Ede1-Syp1 complex
P53112	319	putative Pex14-Pex17 complex
P28519	476	nucleotide-excision repair factor 1 complex (GO)
P38786	129	ribonuclease MRP complex
P80428	116	INO80 complex
P09938	495	ribonucleoside-diphosphate reductase complex
P40335	190	retromer complex
P16862	411	6-phosphofructokinase complex (GO)
P06700	200	RENT complex (GO)
P32600	507	TORC1 complex (GO)
Q03201	123	mitochondrial small ribosomal subunit
Q03761	174	SAGA complex
P46944	175	TRAPP complex
P31244	490	Cul3-RING ubiquitin ligase complex (GO)
Q02732	64	COMA complex
Q12464	116	INO80 complex
Q06505	509	Spt6-Spn1 elongator factor complex
P00424	163	cytochome c oxidase complex, subunits IV, Va, VI and VIIa
P39958	384	putative Gdi1-Ypt6-Ypt1 complex
P38911	286	putative Fpr3-Ssb2 complex
P06779	424	NEF4 complex
P52286	220	CBF3 complex (GO)
Q04545	360	putative Tao3-Yml081w complex
P32461	25	Dph1-Dph2-Dph3 complex
Q99177	501	small nuclear ribonucleoprotein complex (GO)
P53965	349	putative Oca6-Oca5-Oca4-Oca3-Oca1-Oca2 complex
P53040	174	transcription factor TFIID complex
P38333	475	90S preribosome
Q08236	508	TORC2 complex (GO)
P40361	260	putative Yjl070c-Amd1 complex
P27895	275	kinesin complex (GO)
P53969	458	mitochondrial sorting and assembly machinery complex (GO)
P53871	24	Dug2-Dug3 complex
P32588	439	heterogeneous nuclear ribonucleoprotein complex (GO)
Q99207	468	90S preribosome
P36076	289	Sis2-Ykl088w-Vhs3 complex
Q00711	455	mitochondrial respiratory chain complex II
P36013	310	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex
P38265	64	COMA complex
P38232	487	protein phosphatase type 1 complex (GO)
P47057	75	Snx4-Snx41 heterodimer
P32598	487	protein phosphatase type 1 complex (GO)
P41318	507	TORC2 complex (GO)
P15367	498	signal peptidase complex (GO)
Q12122	326	putative Lys20-Lys21 isozyme complex
Q06406	234	snRNP U6
P53125	419	Isw2-Itc1 complex
P33448	452	mitochondrial outer membrane translocase complex (GO)
Q08199	272	putative Kex2-Sil1 complex
P32905	386	putative Rps0a-Rps0b complex
P50111	111	protein phosphatase type 2A complex
P07149	199	putative Trm3-Fas1 complex
Q12030	217	transcription factor TFIID complex
Q12181	271	putative Dre2-Tah18 complex
Q12125	322	putative Ybr137w-Sgt2-Mdy2-Yor164c complex
P40993	129	ribonuclease MRP complex
Q12420	125	U4-U6 x U5 tri-snRNP complex
P19263	138	Srb-mediator complex
Q02793	184	Ski complex
P15731	484	proteasome complex (GO)
P40395	107	Ric1-Rgp1 complex
P39520	425	putative Rrp7-Ifh1 complex
Q02908	189	Elongator holoenzyme complex
Q08923	109	Rpd3L complex
P48232	401	putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex
P29703	232	CAAX-protein geranylgeranyltransferase complex
Q04437	197	Ku70:Ku80 complex
P35179	512	translocon complex (GO)
P35734	130	DASH complex
P20434	169	RNA polymerase II complex
P36009	355	putative Dhr2-Ubp10 complex
P32341	86	vacuolar proton-transporting V-type ATPase, V0 domain
P35178	204	preribosome, large subunit precursor
P32496	183	proteasome regulatory particle
P23638	192	proteasome core complex
P32497	212	eukaryotic translation initiation factor 3 complex
P40958	459	mitotic checkpoint complex (GO)
P32832	171	RSC complex
P33338	266	putative Sla2-Lsb3 complex
P15646	170	box C/D snoRNP complex (GO)
P47124	193	alpha-1,6-mannosyltransferase complex
P12753	461	Mre11 complex (GO)
P36167	72	Cln-Cdc28 protein kinase complex
P48240	229	exosome (RNase complex)
P18888	171	RSC complex
Q04305	170	90S preribosome
Q12311	469	NuA3 histone acetyltransferase complex (GO)
P32259	138	Srb-mediator complex
P41543	479	putative Ost1-Stt3 complex
P12683	406	putative Hmg1-Hmg2 isozyme complex
P18851	128	heterotrimeric G-protein complex (GO)
P53276	170	90S preribosome
Q06616	402	putative Kap123-Ypr174c complex
P11412	275	putative Cin8-Zwf1 complex
P23287	416	calcineurin complex (GO)
P23615	70	Spt6-Spn1 elongator factor complex
P53261	412	nucleolar preribosome, large subunit precursor (GO)
P53738	23	Trm112-Trm11 complex
P47037	89	nuclear cohesin complex
Q04599	94	mitochondtrial large ribosomal subunit
P38875	227	GPI-anchor transamidase complex
P00925	274	phosphopyruvate hydratase complex (GO)
Q04493	221	prefoldin complex
P34218	345	putative Sas3-Nto1-Ylr455w complex
